x,z,dist,ne
69191.7884943001,-23.6215916745109,614,0
69192.7884943001,-23.6130911923526,615,0
69193.7884943001,-23.6045907101936,616,0
69194.7884943001,-23.5960902280353,617,0
69195.7884943001,-23.5875897458762,618,0
69196.7884943001,-23.5790892637178,619,0
69197.7884943001,-23.5705887815595,620,0
69198.7884943001,-23.5620882994005,621,0
69199.7884943001,-23.5535878172422,622,0
69200.7884943001,-23.5450873350832,623,0
69201.7884943001,-23.5365868529249,624,0
69202.7884943001,-23.5280863707657,625,0
69203.7884943001,-23.5195858886074,626,0
69204.7884943001,-23.5110854064484,627,0
69205.7884943001,-23.5025849242901,628,0
69206.7884943001,-23.494084442131,629,0
69207.7884943001,-23.4855839599728,630,0
69208.7884943001,-23.4770834778137,631,0
69209.7884943001,-23.4685829956554,632,0
69210.7884943001,-23.4600825134962,633,0
69211.7884943001,-23.451582031338,634,0
69212.7884943001,-23.4430815491789,635,0
69213.7884943001,-23.4345810670207,636,0
69214.7884943001,-23.4260805848616,637,0
69215.7884943001,-23.4175801027032,638,0
69216.7884943001,-23.4090796205441,639,0
69217.7884943001,-23.4005791383858,640,0
69218.7884943001,-23.3920786562268,641,0
69219.7884943001,-23.3835781740685,642,0
69220.7884943001,-23.3750776919095,643,0
69221.7884943001,-23.3665772097511,644,0
69222.7884943001,-23.3580767275929,645,0
69223.7884943001,-23.3495762454338,646,0
69224.7884943001,-23.3410757632755,647,0
69225.7884943001,-23.3325752811165,648,0
69226.7884943001,-23.3240747989582,649,0
69227.7884943001,-23.315574316799,650,0
69228.7884943001,-23.3070738346407,651,0
69229.7884943001,-23.2985733524817,652,0
69230.7884943001,-23.2900728703234,653,0
69231.7884943001,-23.2815723881643,654,0
69232.7884943001,-23.2730719060061,655,0
69233.7884943001,-23.264571423847,656,0
69234.7884943001,-23.2560709416886,657,0
69235.7884943001,-23.2475704595295,658,0
69236.7884943001,-23.2390699773713,659,0
69237.7884943001,-23.2305694952122,660,0
69238.7884943001,-23.222069013054,661,0
69239.7884943001,-23.2135685308949,662,0
69240.7884943001,-23.2050680487364,663,0
69241.7884943001,-23.1965675665774,664,0
69242.7884943001,-23.1880670844191,665,0
